model,probability_type,requested_bins,actual_nonempty_bins,source,test_set_evaluated,bin,count,minimum_probability,maximum_probability,mean_probability,observed_default_rate,absolute_calibration_gap
logistic,raw,10,10,validation,False,1,450,3.116527049909547e-07,0.0766471943837015,0.05511224606863395,0.04,0.015112246068633949
logistic,raw,10,10,validation,False,2,450,0.07670654360981254,0.09536156297086817,0.08703871181986912,0.08444444444444445,0.0025942673754246748
logistic,raw,10,10,validation,False,3,450,0.09537119555610479,0.10976686692178624,0.10314184551680575,0.10222222222222223,0.0009196232945835187
logistic,raw,10,10,validation,False,4,450,0.1098166103439462,0.12214925421973598,0.11572882021569555,0.11777777777777777,0.002048957562082218
logistic,raw,10,10,validation,False,5,450,0.12216881592890047,0.13613356672272217,0.12915813867064946,0.14888888888888888,0.019730750218239418
logistic,raw,10,10,validation,False,6,450,0.13619503253606563,0.15777975737275934,0.1453700935322291,0.18,0.03462990646777089
logistic,raw,10,10,validation,False,7,450,0.15786909354021092,0.2135626851450398,0.1797491308615359,0.20222222222222222,0.022473091360686315
logistic,raw,10,10,validation,False,8,447,0.2139034279738158,0.30713564412074046,0.25760644663140675,0.2505592841163311,0.0070471625150756445
logistic,raw,10,10,validation,False,9,453,0.30723035792846864,0.5741914002547654,0.406590125811998,0.41501103752759383,0.008420911715595836
logistic,raw,10,10,validation,False,10,450,0.5759231896594075,0.8923315009754978,0.7167618636974504,0.6688888888888889,0.047872974808561564
logistic,reported,10,10,validation,False,1,450,3.116527049909547e-07,0.0766471943837015,0.05511224606863395,0.04,0.015112246068633949
logistic,reported,10,10,validation,False,2,450,0.07670654360981254,0.09536156297086817,0.08703871181986912,0.08444444444444445,0.0025942673754246748
logistic,reported,10,10,validation,False,3,450,0.09537119555610479,0.10976686692178624,0.10314184551680575,0.10222222222222223,0.0009196232945835187
logistic,reported,10,10,validation,False,4,450,0.1098166103439462,0.12214925421973598,0.11572882021569555,0.11777777777777777,0.002048957562082218
logistic,reported,10,10,validation,False,5,450,0.12216881592890047,0.13613356672272217,0.12915813867064946,0.14888888888888888,0.019730750218239418
logistic,reported,10,10,validation,False,6,450,0.13619503253606563,0.15777975737275934,0.1453700935322291,0.18,0.03462990646777089
logistic,reported,10,10,validation,False,7,450,0.15786909354021092,0.2135626851450398,0.1797491308615359,0.20222222222222222,0.022473091360686315
logistic,reported,10,10,validation,False,8,447,0.2139034279738158,0.30713564412074046,0.25760644663140675,0.2505592841163311,0.0070471625150756445
logistic,reported,10,10,validation,False,9,453,0.30723035792846864,0.5741914002547654,0.406590125811998,0.41501103752759383,0.008420911715595836
logistic,reported,10,10,validation,False,10,450,0.5759231896594075,0.8923315009754978,0.7167618636974504,0.6688888888888889,0.047872974808561564
xgboost,raw,10,10,validation,False,1,450,0.02509002760052681,0.05645379051566124,0.046031909916136,0.04,0.006031909916136002
xgboost,raw,10,10,validation,False,2,450,0.05655187368392944,0.07619448006153107,0.06685078644090228,0.05333333333333334,0.013517453107568946
xgboost,raw,10,10,validation,False,3,450,0.07624273002147675,0.0967806726694107,0.0863369621667597,0.09777777777777778,0.011440815611018076
xgboost,raw,10,10,validation,False,4,450,0.09690383076667786,0.1189485564827919,0.10730566261543167,0.10222222222222223,0.005083440393209446
xgboost,raw,10,10,validation,False,5,450,0.11895202100276947,0.1431778520345688,0.1309126288526588,0.14666666666666667,0.01575403781400786
xgboost,raw,10,10,validation,False,6,450,0.1433020830154419,0.17499969899654388,0.15784915328025817,0.18,0.022150846719741824
xgboost,raw,10,10,validation,False,7,450,0.17503318190574646,0.22700779139995575,0.19760421458217833,0.20666666666666667,0.009062452084488332
xgboost,raw,10,10,validation,False,8,450,0.22704613208770752,0.3292299509048462,0.2714622737963994,0.2777777777777778,0.0063155039813783675
xgboost,raw,10,10,validation,False,9,450,0.3295268714427948,0.5822629928588867,0.42348990341027576,0.4222222222222222,0.0012676811880535377
xgboost,raw,10,10,validation,False,10,450,0.5825392007827759,0.8619896173477173,0.7078415903780195,0.6844444444444444,0.023397145933575114
xgboost,reported,10,10,validation,False,1,450,0.02509002760052681,0.05645379051566124,0.046031909916136,0.04,0.006031909916136002
xgboost,reported,10,10,validation,False,2,450,0.05655187368392944,0.07619448006153107,0.06685078644090228,0.05333333333333334,0.013517453107568946
xgboost,reported,10,10,validation,False,3,450,0.07624273002147675,0.0967806726694107,0.0863369621667597,0.09777777777777778,0.011440815611018076
xgboost,reported,10,10,validation,False,4,450,0.09690383076667786,0.1189485564827919,0.10730566261543167,0.10222222222222223,0.005083440393209446
xgboost,reported,10,10,validation,False,5,450,0.11895202100276947,0.1431778520345688,0.1309126288526588,0.14666666666666667,0.01575403781400786
xgboost,reported,10,10,validation,False,6,450,0.1433020830154419,0.17499969899654388,0.15784915328025817,0.18,0.022150846719741824
xgboost,reported,10,10,validation,False,7,450,0.17503318190574646,0.22700779139995575,0.19760421458217833,0.20666666666666667,0.009062452084488332
xgboost,reported,10,10,validation,False,8,450,0.22704613208770752,0.3292299509048462,0.2714622737963994,0.2777777777777778,0.0063155039813783675
xgboost,reported,10,10,validation,False,9,450,0.3295268714427948,0.5822629928588867,0.42348990341027576,0.4222222222222222,0.0012676811880535377
xgboost,reported,10,10,validation,False,10,450,0.5825392007827759,0.8619896173477173,0.7078415903780195,0.6844444444444444,0.023397145933575114
