decile,count,min_score,max_score,mean_score,mean_reported_probability,observed_default_rate,source,test_set_evaluated
1,450,568.3818925497193,592.7245369467144,574.9637232636602,0.046031909916136,0.04,validation,False
2,450,559.1194917367038,568.3288055347589,563.2806229950227,0.06685078644090228,0.05333333333333334,validation,False
3,450,551.5685859219819,559.0997187944558,555.2669070064975,0.0863369621667597,0.09777777777777778,validation,False
4,450,544.9006461038693,551.5279566474974,548.3019179678412,0.10730566261543167,0.10222222222222223,validation,False
5,450,538.7466248284354,544.8996922503404,541.7830676794008,0.1309126288526588,0.14666666666666667,validation,False
6,450,531.8637203072653,538.7174162070135,535.4766780082956,0.15784915328025817,0.18,validation,False
7,450,522.4771173593458,531.8570291139048,527.6318270574277,0.19760421458217833,0.20666666666666667,validation,False
8,450,507.65732989168106,522.470813265763,515.7447720426228,0.2714622737963994,0.2777777777777778,validation,False
9,450,477.5413567885023,507.6185441469469,496.1939979648783,0.42348990341027576,0.4222222222222222,validation,False
10,450,434.2650024890494,477.5085880934187,461.0164276330883,0.7078415903780195,0.6844444444444444,validation,False
