threshold,predicted_positive_count,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,source,is_max_ks,is_reference,test_set_evaluated
0.05,19566,0.9317142857142857,1383,14972,51,4594,0.23479505264233874,0.9890204520990312,0.08456129623968206,0.37949692288629133,0.915438703760318,0.010979547900968778,train_oof,False,False,False
0.1,14383,0.6849047619047619,6179,10176,438,4207,0.29249808802057986,0.9057050592034446,0.37780495261387953,0.442190456169855,0.6221950473861204,0.09429494079655543,train_oof,False,False,False
0.15,10148,0.48323809523809524,9852,6503,1000,3645,0.35918407567993693,0.7847147470398278,0.6023845918679303,0.4928006489555871,0.39761540813206975,0.2152852529601722,train_oof,False,False,False
0.2,7285,0.3469047619047619,12237,4118,1478,3167,0.43472889498970485,0.6818083961248654,0.7482115560990523,0.5309304274937133,0.2517884439009477,0.31819160387513457,train_oof,False,False,False
0.21430689096450806,6766,0.3221904761904762,12664,3691,1570,3075,0.4544782737215489,0.6620021528525296,0.7743197798838276,0.538953641223381,0.2256802201161724,0.3379978471474704,train_oof,True,False,False
0.25,5783,0.2753809523809524,13427,2928,1790,2855,0.49368839702576517,0.6146393972012917,0.8209721797615408,0.5475642500958957,0.1790278202384592,0.3853606027987083,train_oof,False,False,False
0.3,4763,0.22680952380952382,14172,2183,2065,2580,0.5416754146546294,0.5554359526372443,0.8665239987771324,0.548469387755102,0.13347600122286762,0.4445640473627557,train_oof,False,False,False
0.35,3931,0.18719047619047618,14727,1628,2342,2303,0.5858560162808446,0.49580193756727664,0.9004585753592174,0.5370802238805971,0.09954142464078264,0.5041980624327234,train_oof,False,False,False
0.4,3290,0.15666666666666668,15133,1222,2577,2068,0.6285714285714286,0.44520990312163616,0.925282788138184,0.5212350346565847,0.07471721186181601,0.5547900968783639,train_oof,False,False,False
0.45,2943,0.14014285714285715,15322,1033,2735,1910,0.6489976214746856,0.41119483315392896,0.9368388871904616,0.503426462836057,0.0631611128095384,0.588805166846071,train_oof,False,False,False
0.5,2627,0.1250952380952381,15508,847,2865,1780,0.6775789874381424,0.3832077502691066,0.9482115560990523,0.48954895489548955,0.05178844390094772,0.6167922497308934,train_oof,False,True,False
0.55,2300,0.10952380952380952,15650,705,3050,1595,0.6934782608695652,0.3433799784714747,0.9568939162335677,0.45932325413966885,0.043106083766432324,0.6566200215285253,train_oof,False,False,False
0.6,1997,0.0950952380952381,15769,586,3234,1411,0.7065598397596394,0.303767491926803,0.9641699785998166,0.42487202649804273,0.03583002140018343,0.696232508073197,train_oof,False,False,False
0.65,1621,0.07719047619047618,15924,431,3455,1190,0.7341147439851943,0.25618945102260493,0.9736472026903088,0.3798276412384296,0.0263527973096912,0.7438105489773951,train_oof,False,False,False
0.7,1059,0.05042857142857143,16108,247,3833,812,0.7667610953729934,0.17481162540365985,0.9848975848364414,0.2847124824684432,0.015102415163558591,0.8251883745963402,train_oof,False,False,False
0.75,522,0.024857142857142855,16242,113,4236,409,0.7835249042145593,0.08805166846071044,0.9930907979211251,0.1583123669440681,0.00690920207887491,0.9119483315392896,train_oof,False,False,False
0.8,111,0.005285714285714286,16333,22,4556,89,0.8018018018018018,0.019160387513455328,0.9986548456129624,0.037426408746846086,0.0013451543870376392,0.9808396124865447,train_oof,False,False,False
0.85,21,0.001,16354,1,4625,20,0.9523809523809523,0.004305705059203444,0.999938856618771,0.008572653236176597,6.114338122897855e-05,0.9956942949407965,train_oof,False,False,False
0.9,1,4.761904761904762e-05,16355,0,4644,1,1.0,0.00021528525296017224,1.0,0.00043047783039173483,0.0,0.9997847147470398,train_oof,False,False,False
0.95,0,0.0,16355,0,4645,0,0.0,0.0,1.0,0.0,0.0,1.0,train_oof,False,False,False
