candidate_index,candidate_rank,selected,test_set_evaluated,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,mean_test_roc_auc,std_test_roc_auc,mean_test_average_precision,std_test_average_precision,mean_fit_time,mean_score_time
21,1,True,False,0.9,5.0,0.5,350,10,3,0.03,0.5,1.0,0.7875203697650557,0.00841802467405852,0.5616426454236878,0.008710672488604522,1.6780962347984314,0.05669444799423218
19,2,False,False,0.9,5.0,0.1,200,10,3,0.03,0.0,0.8,0.7874163394211294,0.008547498383937821,0.563835146536156,0.009685046011291488,1.092405378818512,0.0483095645904541
0,3,False,False,0.9,1.0,0.5,350,5,4,0.03,0.5,1.0,0.7865761461574404,0.009151813161256928,0.5597364918309824,0.006877756938966688,2.3985925912857056,0.058190762996673584
3,4,False,False,0.9,10.0,0.0,350,3,2,0.08,0.5,0.9,0.7861730588632688,0.008862572080529325,0.5568792376024719,0.010501604162920722,1.4523406624794006,0.05099475383758545
1,5,False,False,0.8,1.0,0.0,350,5,2,0.05,0.5,0.8,0.7859887705115451,0.008140205023720062,0.5549043387979349,0.00850204109981802,1.3927435874938965,0.05381578207015991
11,6,False,False,1.0,1.0,0.1,350,10,4,0.03,0.0,0.9,0.7859205959681725,0.00851387425599127,0.5588970203121142,0.007783610881826375,1.7405201196670532,0.055759429931640625
23,7,False,False,0.9,1.0,0.5,200,3,2,0.1,0.0,0.8,0.7857693961986437,0.008680192986993598,0.5563354697632975,0.008151970276310505,0.9979258179664612,0.04907327890396118
2,8,False,False,1.0,5.0,0.5,700,10,3,0.03,0.0,0.8,0.7856152688743907,0.00858869633311433,0.5581412388702247,0.009477570378442235,2.410420835018158,0.0667104721069336
16,9,False,False,0.8,5.0,0.1,350,1,3,0.05,0.5,0.8,0.7854587158213765,0.008479804210371877,0.5585228876143249,0.008518000262876264,1.6717203259468079,0.0537150502204895
4,10,False,False,0.9,1.0,0.5,200,10,3,0.1,0.1,1.0,0.784736775935058,0.008723731180195328,0.5560114168805113,0.00912423071944893,1.0765170454978943,0.05344748497009277
10,11,False,False,0.8,10.0,0.1,350,1,4,0.05,0.5,0.9,0.7844159410865921,0.008956514711679171,0.5558790556317244,0.006633760713731528,2.072930693626404,0.06562632322311401
22,12,False,False,0.8,5.0,0.0,500,5,3,0.05,0.0,0.8,0.784355188392176,0.008193426852790424,0.5549297593443145,0.006613285237060058,2.162086606025696,0.05956840515136719
5,13,False,False,1.0,1.0,0.5,200,5,5,0.05,0.0,1.0,0.7833222486569245,0.009366659660486533,0.5558979281802983,0.009003047875709847,1.468909502029419,0.06621122360229492
9,14,False,False,1.0,1.0,0.0,200,1,5,0.05,0.5,0.8,0.7828942591651414,0.009375697065513822,0.5576756557632259,0.012288630342655652,1.3927794694900513,0.054302096366882324
20,15,False,False,1.0,1.0,0.1,200,3,4,0.08,0.5,1.0,0.7828311332421151,0.008159027070362186,0.5503658977994512,0.007760047347420906,1.145933210849762,0.05207169055938721
18,16,False,False,1.0,1.0,0.1,500,10,5,0.03,0.0,0.8,0.7822984154316688,0.008731625850601702,0.5537515654271361,0.010427126641432099,2.567397117614746,0.06648319959640503
13,17,False,False,1.0,1.0,0.1,700,5,2,0.1,0.5,1.0,0.7820626373864612,0.008860397652257556,0.5483295295584917,0.009451805282343984,2.0744510293006897,0.08275800943374634
14,18,False,False,0.9,5.0,0.1,500,1,4,0.05,0.0,1.0,0.7815600869266287,0.009258023006883479,0.5500926474635486,0.005830854309693302,2.7630850076675415,0.06253892183303833
6,19,False,False,0.9,10.0,0.5,350,1,4,0.08,0.1,0.8,0.7810270567538379,0.00924524940549262,0.5488479349017303,0.006410206287248636,1.9905591011047363,0.05475431680679321
17,20,False,False,1.0,5.0,0.5,350,1,5,0.1,0.5,0.9,0.7808424940030666,0.009564097925314789,0.5500641893821083,0.008373352909959131,1.6613869071006775,0.054755210876464844
15,21,False,False,1.0,10.0,0.5,700,3,5,0.08,0.5,1.0,0.7804566288505026,0.009756274569049234,0.5508183742251269,0.008778309246818926,2.597687780857086,0.06713610887527466
8,22,False,False,0.9,1.0,0.0,200,5,4,0.1,0.0,0.8,0.7802681165399046,0.008591750373823358,0.5490948126189954,0.008495706394379932,1.2612268328666687,0.053816795349121094
7,23,False,False,0.9,5.0,0.5,200,1,5,0.1,0.1,1.0,0.7778297147545782,0.0084946339775879,0.5464144901667995,0.0061046322299684085,1.812085509300232,0.059763967990875244
12,24,False,False,0.9,5.0,0.5,700,1,3,0.1,0.0,1.0,0.7749164903257151,0.008109461838906299,0.5414954155542417,0.006494092506088514,2.998173475265503,0.06865692138671875
